,age,workclass,education,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,over50k
0,39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K
1,50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States, <=50K
2,38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
3,53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
4,28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba, <=50K
5,37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
6,49, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica, <=50K
7,52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
8,31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50K
9,42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50K
10,37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States, >50K
11,30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
12,23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
13,32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
14,34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K
15,25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K
16,32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
17,38, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
18,43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, >50K
19,40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
20,54, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K
21,35, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
22,43, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States, <=50K
23,59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
24,56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
25,19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
26,54, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South, >50K
27,39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States, <=50K
28,49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29,23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States, <=50K
30,20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States, <=50K
31,45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States, <=50K
32,30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
33,22, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States, <=50K
34,48, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K
35,21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
36,19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
37,48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
38,31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K
39,53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
40,24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
41,49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42,25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
43,57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
44,53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
45,44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
46,41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47,29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States, <=50K
48,25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States, <=50K
49,47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras, >50K
50,50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
51,47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
52,43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
53,46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
54,35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
55,41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
56,30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K
57,30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States, <=50K
58,48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
59,42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
60,29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K
61,36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62,28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
63,53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
64,49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
65,25, ?, Some-college, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
66,19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
67,31, Private, Bachelors, Separated, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
68,29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
69,23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
70,79, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K
71,27, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K
72,40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
73,67, ?, 10th, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States, <=50K
74,18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K
75,31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
76,18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
77,52, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba, <=50K
78,46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
79,59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
80,44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States, >50K
81,53, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
82,49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
83,33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
84,30, Private, 9th, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
85,43, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
